DATAFLOW,LAST UPDATE,freq,size_emp,nace_r2,indic_is,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ISOC_EB_ICS(1.0),08/12/23 11:00:00,A,0-9,C10-S951_X_K,E_DI3_HI_SISC,PC_ENT,ES,2023,2.0,
ESTAT:ISOC_EB_ICS(1.0),08/12/23 11:00:00,A,0-9,C10-S951_X_K,E_DI3_HI_SISC,PC_ENT,PT,2023,2.2,
ESTAT:ISOC_EB_ICS(1.0),08/12/23 11:00:00,A,0-9,C10-S951_X_K,E_DI3_LO_SISC,PC_ENT,ES,2023,4.1,
ESTAT:ISOC_EB_ICS(1.0),08/12/23 11:00:00,A,0-9,C10-S951_X_K,E_DI3_LO_SISC,PC_ENT,PT,2023,4.1,
ESTAT:ISOC_EB_ICS(1.0),08/12/23 11:00:00,A,0-9,C10-S951_X_K,E_DI3_VHI_SISC,PC_ENT,ES,2023,0.3,
ESTAT:ISOC_EB_ICS(1.0),08/12/23 11:00:00,A,0-9,C10-S951_X_K,E_DI3_VHI_SISC,PC_ENT,PT,2023,0.5,
ESTAT:ISOC_EB_ICS(1.0),08/12/23 11:00:00,A,0-9,C10-S951_X_K,E_DI3_VLO_SISC,PC_ENT,ES,2023,6.0,
ESTAT:ISOC_EB_ICS(1.0),08/12/23 11:00:00,A,0-9,C10-S951_X_K,E_DI3_VLO_SISC,PC_ENT,PT,2023,2.0,
ESTAT:ISOC_EB_ICS(1.0),08/12/23 11:00:00,A,0-9,C10-S951_X_K,E_INV3R_AP_GT0,PC_ENT,ES,2017,5.8,
ESTAT:ISOC_EB_ICS(1.0),08/12/23 11:00:00,A,0-9,C10-S951_X_K,E_INV3R_AP_GT0,PC_ENT,SE,2017,20.5,
ESTAT:ISOC_EB_ICS(1.0),08/12/23 11:00:00,A,0-9,C10-S951_X_K,E_INV3R_AP_GT0,PC_ENT,SK,2017,25.7,
ESTAT:ISOC_EB_ICS(1.0),08/12/23 11:00:00,A,0-9,C10-S951_X_K,E_INV3R_AP_GT0,PC_ENT_CUSE,ES,2017,8.2,
ESTAT:ISOC_EB_ICS(1.0),08/12/23 11:00:00,A,0-9,C10-S951_X_K,E_INV3R_AP_GT0,PC_ENT_CUSE,SE,2017,22.8,
ESTAT:ISOC_EB_ICS(1.0),08/12/23 11:00:00,A,0-9,C10-S951_X_K,E_INV3R_AP_GT0,PC_ENT_CUSE,SK,2017,32.0,
ESTAT:ISOC_EB_ICS(1.0),08/12/23 11:00:00,A,0-9,C10-S951_X_K,E_INV3R_MP_GT0,PC_ENT,ES,2017,70.0,
ESTAT:ISOC_EB_ICS(1.0),08/12/23 11:00:00,A,0-9,C10-S951_X_K,E_INV3R_MP_GT0,PC_ENT,SE,2017,80.6,
ESTAT:ISOC_EB_ICS(1.0),08/12/23 11:00:00,A,0-9,C10-S951_X_K,E_INV3R_MP_GT0,PC_ENT,SK,2017,78.3,
ESTAT:ISOC_EB_ICS(1.0),08/12/23 11:00:00,A,0-9,C10-S951_X_K,E_INV3R_MP_GT0,PC_ENT_CUSE,ES,2017,99.4,
ESTAT:ISOC_EB_ICS(1.0),08/12/23 11:00:00,A,0-9,C10-S951_X_K,E_INV3R_MP_GT0,PC_ENT_CUSE,SE,2017,89.7,
ESTAT:ISOC_EB_ICS(1.0),08/12/23 11:00:00,A,0-9,C10-S951_X_K,E_INV3R_MP_GT0,PC_ENT_CUSE,SK,2017,97.5,
ESTAT:ISOC_EB_ICS(1.0),08/12/23 11:00:00,A,0-9,C10-S951_X_K,E_INV3SBG,PC_ENT,ES,2017,46.3,
ESTAT:ISOC_EB_ICS(1.0),08/12/23 11:00:00,A,0-9,C10-S951_X_K,E_INV3SBG,PC_ENT,SE,2017,68.4,
ESTAT:ISOC_EB_ICS(1.0),08/12/23 11:00:00,A,0-9,C10-S951_X_K,E_INV3SBG,PC_ENT,SK,2017,65.3,
ESTAT:ISOC_EB_ICS(1.0),08/12/23 11:00:00,A,0-9,C10-S951_X_K,E_INV3SBG,PC_ENT_CUSE,ES,2017,65.8,
